idalat,data,rssi,battery,datetime
14,3,68,50,Wed Apr  5 12:55:00 2017
14,3,68,50,Wed Apr  5 12:55:30 2017
14,3,50,50,Wed Apr  5 12:56:00 2017
14,3,65,50,Wed Apr  5 12:56:30 2017
14,3,64,50,Wed Apr  5 12:57:00 2017
14,3,65,50,Wed Apr  5 12:57:30 2017
14,3,68,50,Wed Apr  5 12:58:00 2017
14,3,50,50,Wed Apr  5 12:58:31 2017
14,3,71,50,Wed Apr  5 12:59:01 2017
14,3,50,50,Wed Apr  5 12:59:30 2017
14,3,72,50,Wed Apr  5 13:00:00 2017
14,3,50,50,Wed Apr  5 13:00:31 2017
14,3,61,50,Wed Apr  5 13:01:01 2017
14,3,65,50,Wed Apr  5 13:01:31 2017
14,3,65,50,Wed Apr  5 13:02:01 2017
14,3,50,50,Wed Apr  5 13:02:31 2017
14,3,50,50,Wed Apr  5 13:03:01 2017
14,3,73,50,Wed Apr  5 13:03:31 2017
14,3,75,50,Wed Apr  5 13:04:01 2017
14,3,50,50,Wed Apr  5 13:04:31 2017
14,3,78,50,Wed Apr  5 13:05:01 2017
14,3,78,50,Wed Apr  5 13:05:31 2017
14,3,75,50,Wed Apr  5 13:06:01 2017
14,3,78,50,Wed Apr  5 13:06:31 2017
14,3,75,50,Wed Apr  5 13:07:01 2017
14,3,78,50,Wed Apr  5 13:07:31 2017
14,3,78,50,Wed Apr  5 13:08:01 2017
14,3,78,50,Wed Apr  5 13:08:31 2017
14,3,50,50,Wed Apr  5 13:09:01 2017
14,3,75,50,Wed Apr  5 13:09:31 2017
14,3,79,50,Wed Apr  5 13:10:01 2017
14,3,50,50,Wed Apr  5 13:10:30 2017
14,3,50,50,Wed Apr  5 13:11:00 2017
14,3,75,50,Wed Apr  5 13:11:30 2017
14,3,75,50,Wed Apr  5 13:12:00 2017
14,3,50,50,Wed Apr  5 13:12:30 2017
14,3,50,50,Wed Apr  5 13:13:00 2017
14,3,75,50,Wed Apr  5 13:13:31 2017
14,3,50,50,Wed Apr  5 13:14:01 2017
14,3,50,50,Wed Apr  5 13:14:31 2017
14,3,75,50,Wed Apr  5 13:15:01 2017
14,3,78,50,Wed Apr  5 13:15:31 2017
14,3,50,50,Wed Apr  5 13:16:01 2017
14,3,78,50,Wed Apr  5 13:16:31 2017
14,3,50,50,Wed Apr  5 13:17:01 2017
14,3,78,50,Wed Apr  5 13:17:31 2017
14,3,50,50,Wed Apr  5 13:18:01 2017
14,3,50,50,Wed Apr  5 13:18:31 2017
14,3,50,50,Wed Apr  5 13:19:01 2017
14,3,75,50,Wed Apr  5 13:19:31 2017
14,3,78,50,Wed Apr  5 13:20:01 2017
14,3,50,50,Wed Apr  5 13:20:31 2017
14,3,78,50,Wed Apr  5 13:21:01 2017
14,3,78,50,Wed Apr  5 13:21:31 2017
14,3,50,50,Wed Apr  5 13:22:01 2017
14,3,50,50,Wed Apr  5 13:22:31 2017
14,3,68,50,Wed Apr  5 13:23:01 2017
14,3,79,50,Wed Apr  5 13:23:30 2017
14,3,50,50,Wed Apr  5 13:24:00 2017
14,3,78,50,Wed Apr  5 13:24:30 2017
14,3,50,50,Wed Apr  5 13:25:00 2017
14,3,75,50,Wed Apr  5 13:25:30 2017
14,3,50,50,Wed Apr  5 13:26:00 2017
14,3,50,50,Wed Apr  5 13:26:31 2017
14,3,69,50,Wed Apr  5 13:27:01 2017
14,3,78,50,Wed Apr  5 13:27:31 2017
14,3,78,50,Wed Apr  5 13:28:01 2017
