idalat,data,rssi,battery,datetime
14,3,116,50,Wed Apr  5 07:15:23 2017
14,3,136,50,Wed Apr  5 07:15:53 2017
14,3,50,50,Wed Apr  5 07:16:23 2017
14,3,112,50,Wed Apr  5 07:16:53 2017
14,3,50,50,Wed Apr  5 07:17:24 2017
14,3,50,50,Wed Apr  5 07:17:53 2017
14,3,106,50,Wed Apr  5 07:18:23 2017
14,3,50,50,Wed Apr  5 07:18:53 2017
14,3,106,50,Wed Apr  5 07:19:23 2017
14,3,50,50,Wed Apr  5 07:19:54 2017
14,3,143,50,Wed Apr  5 07:20:23 2017
14,3,50,50,Wed Apr  5 07:20:54 2017
14,3,50,50,Wed Apr  5 07:21:23 2017
14,3,50,50,Wed Apr  5 07:21:54 2017
14,3,116,50,Wed Apr  5 07:22:23 2017
14,3,116,50,Wed Apr  5 07:22:54 2017
14,3,116,50,Wed Apr  5 07:23:23 2017
14,3,103,50,Wed Apr  5 07:23:53 2017
14,3,50,50,Wed Apr  5 07:24:23 2017
14,3,50,50,Wed Apr  5 07:24:53 2017
14,3,109,50,Wed Apr  5 07:25:23 2017
14,3,50,50,Wed Apr  5 07:25:53 2017
14,3,50,50,Wed Apr  5 07:26:23 2017
14,3,113,50,Wed Apr  5 07:26:54 2017
14,3,50,50,Wed Apr  5 07:27:23 2017
14,3,50,50,Wed Apr  5 07:27:53 2017
14,3,109,50,Wed Apr  5 07:28:23 2017
14,3,122,50,Wed Apr  5 07:28:53 2017
14,3,106,50,Wed Apr  5 07:29:23 2017
14,3,50,50,Wed Apr  5 07:29:53 2017
14,3,105,50,Wed Apr  5 07:30:23 2017
14,3,120,50,Wed Apr  5 07:30:53 2017
14,3,95,50,Wed Apr  5 07:31:24 2017
14,3,50,50,Wed Apr  5 07:31:53 2017
14,3,50,50,Wed Apr  5 07:32:23 2017
14,3,50,50,Wed Apr  5 07:32:53 2017
14,3,50,50,Wed Apr  5 07:33:23 2017
14,3,50,50,Wed Apr  5 07:33:53 2017
14,3,95,50,Wed Apr  5 07:34:23 2017
14,3,50,50,Wed Apr  5 07:34:53 2017
14,3,50,50,Wed Apr  5 07:35:23 2017
14,3,130,50,Wed Apr  5 07:35:53 2017
14,3,99,50,Wed Apr  5 07:36:23 2017
14,3,112,50,Wed Apr  5 07:36:53 2017
14,3,50,50,Wed Apr  5 07:37:23 2017
14,3,50,50,Wed Apr  5 07:37:53 2017
14,3,99,50,Wed Apr  5 07:38:23 2017
14,3,50,50,Wed Apr  5 07:38:53 2017
14,3,50,50,Wed Apr  5 07:39:23 2017
14,3,50,50,Wed Apr  5 07:39:53 2017
14,3,50,50,Wed Apr  5 07:40:23 2017
